author_name,email,affiliation,coauthors_names,is_artificial_intelligence
Thomas H. LaBean,ncsu.edu,North Carolina State University,Erik Winfree##Dave Sebba##Jane S. Richardson##Harish Chandran##Simon Lovell##Michail G. Lagoudakis##Ashutosh Chilkoti##Kam w Leong##Wing Kam Liu##Hugen Yan (晏湖根),no
Joseph A. Konstan,umn.edu,University of Minnesota,Badrul M. Sarwar##F. Maxwell Harper##Loren Terveen##George Karypis##Sean M. McNee##Brian P. Bailey##Al Borchers##Michael D. Ekstrand##Shyong (Tony) Lam##Istvan Albert##David A. Maltz##Robert E. Kraut##Laura J. Gurak##Dan Cosley##Keith Horvath##Nathan Good##Yan Chen##Cai-Nicolas Ziegler##Aditya Pal,no
Lillian N. Cassel,villanova.edu,Villanova University,nan,no
Juan Antonio Navarro Pérez,google.com,Google,Osorio Mauricio##Andrey Rybalchenko##Andrei Voronkov##Nikos Gorogiannis##Meeyoung Cha##Hamed Haddadi##James Brotherston##Carsten Fuhs##Nuno P. Lopes##Mihaela Sighireanu,yes
Sarita Adve,illinois.edu,University of Illinois at Urbana-Champaign,nan,no
Cassidy R. Sugimoto,gatech.edu,nan,Vincent Larivière##Blaise Cronin##Chaoqun Ni##Andrew Tsou##Mike Thelwall##Dakota Murray##Ying Ding##Timothy D. Bowman##Nicolás Robinson-García##Rodrigo Costas##Erjia Yan##Stephen C Finlay##Staša Milojević##Philippe Mongeon##Zaida Chinchilla-Rodríguez##Terrell Russell##Michael Mattioli##Hamid Ekbia##Adèle Paul-Hus##Scott B. Weingart,no
F.L. Lewis,uta.edu,University of Texas at Arlington,Ali Davoudi##Hamidreza Modares##Kyriakos G. Vamvoudakis##Draguna Vrabie##Murad Abu-Khalaf##Jagannathan Sarangapani or S. Jaga...##Abhijit Das##Hongwei Zhang##Bahare Kiumarsi##Aydin Yesildirek##Octavian Pastravanu,no
Andrew Tsou,umail.iu.edu,Indiana University,nan,no
Yiyu Yao (Y.Y. Yao 姚一豫),cs.uregina.ca,University of Regina,Jiming Liu##Bing Zhou##Pawan Lingras##JingTao Yao (姚静涛)##Xiaofei Deng##Tianrui Li (李天瑞)##Hong Yu##Jiye Liang##Andrzej Skowron##Dominik Slezak##Lusheng Wang##Mengjun Hu##Jiajin Huang##Orland Hoeber##Witold Kinsner##Huaxiong Li##Witold Pedrycz##Dun Liu (刘盾)##Yi Zeng##Cory J Butz,no
Amit Shah,emory.edu,Emory University,nan,no
Xuan Zhang,vt.edu,Virginia Tech,Weiguo Fan Patrick Fan##Alan Wang 王刚##Zhilei (George) Qiao##Mi(Jamie) Zhou##Edward Fox##Qianzhou Du##Mohamed Magdy Gharib Farag##Tarek Kanan##Da Zhang##Aman Ahuja##Chandan K. Reddy##Richard Gruss##Alla Rozovskaya##Saurabh Chakravarty##ARIJIT RAY##Arijit Ray,no
Nikos Gorogiannis,fb.com,nan,James Brotherston##Anthony Hunter##Franco Raimondi##Diletta Romana Cacciagrano##Rosario Culmone##Leonardo Mostarda##Peter O'Hearn##Juan Antonio Navarro Pérez##Mark D. Ryan##Ilya Sergey##Rasmus Lerchedahl Petersen##Flavio Corradini##Carsten Fuhs##Giuseppe Primiero##Joel Ouaknine##Christoph Haase##Reuben N. S. Rowe##Sam Blackshear##Kelly Androutsopoulos##Bob Fields,yes
James V. Hansen,byu.edu,Brigham Young University,nan,yes
Cai-Nicolas Ziegler,informatik.uni-freiburg.de,Albert-Ludwigs-Universität Freiburg,Georg Lausen##Joseph A. Konstan##Sean M. McNee##Lars Schmidt-Thieme##Jennifer Golbeck##Ernesto Diaz-Aviles##Thomas Hornung##Christian Vögele,yes
David G. Dobolyi,nd.edu,University of Notre Dame,Ahmed Abbasi##Chad Dodson##Daniel Willingham##Brent Kitchens##Michael Kubovy##Scott Barton,yes
David Gefen,Drexel.edu,Drexel University,Detmar Straub##Paul A. Pavlou##Marie-Claude Boudreau##Izak Benbasat##Merrill Warkentin##Elena Karahanna##Gaurav Bansal##René Riedl##Edward Rigdon##Fatemeh “Mariam” Zahedi##Erran Carmel##Tsipi Heart##Kai R. Larsen##Mark Keil##Yossi Lichtenstein,no
Steve Sheetz,vt.edu,Virginia Tech,nan,no
Joris Pascal,fhnw.ch,University of Applied Sciences and Arts Northwestern Switzerland,nan,no
Sanghee Oh (오상희),cnu.ac.kr,Chungnam National University,Jeffrey Pomerantz##Chirag Shah##Soojung Kim##Barbara Wildemuth##Adam Worrall##Min Sook Park##Hengyi Fu##Jongwook Lee##Yan Zhang##Zhe He##Laura Sheble##Songphan Choemprayong##gary marchionini##Diane Kelly##Cassidy R. Sugimoto,no
Robyn Lutz,iastate.edu,Iowa State University,Josh Dehlinger##Samik Basu##Vasant G Honavar##Jane Cleland-Huang##Jack H. Lutz##Guy Helmer##Katerina Goseva Popstojanova##Steve Easterbrook##Divita Mathur##Gerald C. Gannod##Titus H. Klinge##Eric R. Henderson##Seyedehzahra Khoshmanesh##Chris Strasburg##Thomas R Devine##David Weiss##Tim Menzies##Jane Huffman Hayes##Mats Heimdahl##Andrew Miner,no
Ricardo da Silva Torres,ntnu.no,Norwegian University of Science and Technology,Jurandy Almeida##Jefersson A. dos Santos##Daniel Carlos Guimarães Pedronette##Falcao A.X.##Otávio A. B. Penatti##Marcos Andre Goncalves##Patricia Morellato##Dr. Anderson Rocha (Associate Profes...##Neucimar J. Leite##Fabio Augusto Faria##Rodrigo Tripodi Calumby##Lin Tzy Li##Eduardo Valle##Claudia Bauzer Medeiros##Nádia P. Kozievitch##João Paulo Papa##Weiguo Fan Patrick Fan##Rafael de Oliveira Werneck##Uma Murthy##Rubens Augusto Camargo Lamparelli,yes
Manuel A. Pérez-Quiñones,uncc.edu,UNCC,Stephen Edwards##Andrea Kavanaugh##Manas Tungare##Rob Capra##Edward Fox##Pardha Pyla##Mary Beth Rosson##Naren Ramakrishnan##Lillian N. Cassel##Ben Hanrahan##Weiguo Fan Patrick Fan##Saverio Perugini##Scott McCrickard##Ravi Vatrapu##Tony Allevato##John Sibert##B. Joon Kim##John Tedesco##Jason Snyder##Kibum Kim,no
Uma Murthy,vt.edu,Virginia Tech,nan,no
Leopoldo Altamirano Robles,inaoep.mx,Instituto Nacional de Astrofisica Optica y Electronica,Jesus A. Gonzalez,no
Chirag Shah,uw.edu,University of Washington,Roberto González-Ibáñez##Erik Choi##Vanessa Kitzie##gary marchionini##Nicholas Belkin##Sanghee Oh (오상희)##Jiqun LIU##Chathra Hendahewa##Lynn Silipigni Connaway##Rob Capra##Diane Kelly##Muge Haseki##Yiwei Wang##Preben Hansen##Long T. Le##W. Bruce Croft##Dongho Choi##Gene Golovchinsky##Laure Soulier##Lynda Tamine,no
James Allan,cs.umass.edu,University of Massachusetts Amherst,Victor Lavrenko##W. Bruce Croft##Gerard Salton (1927-1995)##Mark D. Smucker##Giridhar Kumaran##Ben Carterette##Anton Leuski##Ramesh Maruthi Nallapati##Xing Yi##Henry Feild##Jamie Callan##R. Manmatha##Fernando Diaz##Yiming Yang##Ron Bekkerman##Mark Sanderson##Elif Aktolga,no
Steve Easterbrook,cs.toronto.edu,University of Toronto,Marsha Chechik##Bashar Nuseibeh##Mehrdad (Mike) Sabetzadeh##Nan Niu##Shiva Nejati##Jorge Aranda##Colin C. Venter##Birgit Penzenstadler##Ruzanna Chitchyan##Christoph Becker##Jennifer Horkoff##Susan Elliott Sim##Eric Yu##John Mylopoulos##Anthony Finkelstein##Jeff Kramer##Margaret-Anne Storey##Yijun Yu##Markus Strohmaier##Neil A. Ernst,no
Kyu Hyung Lee,uga.edu,University of Georgia,nan,no
Eduardo Valle,dca.fee.unicamp.br,University of Campinas,Sandra Avila##Arnaldo de Albuquerque Araujo##Matthieu Cord##Ricardo da Silva Torres##Dr. Anderson Rocha (Associate Profes...##Michel Fornaciali##Otávio A. B. Penatti##Ramon Pires##Mauricio Perez##Siome Goldenstein##Jacques Wainer##Vanessa Testoni PhD##Afonso Menegola##Alceu Bissoto##Daniel Moreira##Daniel Bastos Moraes##Pedro Tabacof##Nicolas Thome##Fillipe Dias Moreira de Souza##Herbert F Jelinek,yes
Michail G. Lagoudakis,intelligence.tuc.gr,Technical University of Crete,Ronald Parr##Sven Koenig##Michael Littman##Pinar Keskinocak##Craig Tovey##Adam Meyerson##David Kempe##Nikolaos I. Spanoudakis##Christos Dimitrakakis##Luis Montano##Carlos Guestrin##Evangelos Markakis##Nikolaos Kofinas##Thomas H. LaBean##Alejandro R. Mosteo##Alexandros Paraschos##Ioannis Rexakis##Bill Manaris##Georgios Pierris PhD##Anthony S. Maida,yes
Richard Gruss,radford.edu,Radford University,gary marchionini,no
Michel Fornaciali,einstein.br,nan,Eduardo Valle##Sandra Avila##Ramon Pires##Lin Tzy Li##Alceu Bissoto##Micael Cabrera Carvalho##Fábio Perez,yes
Luis Montano,unizar.es,University of Zaragoza,Javier Minguez##Luis Montesano##Luis Riazuelo##Alejandro R. Mosteo##J.M. Martínez Montiel##Danilo Tardioli##Pablo Urcola##Juan D. Tardós##José Santos-Victor##Domenico Sicignano##Javier Civera##Michael Beetz##Mayte Lázaro##Michail G. Lagoudakis##Alejo Concha##Lars Kunze##Dorian Gálvez-López##Thierry Simeon##Rachid Alami##Ana C. Murillo,no
Guanpi Lai,email.arizona.edu,nan,nan,no
Dongyan Xu,purdue.edu,Purdue University,Xiangyu Zhang##Junghwan "John" Rhee##Zhiqiang Lin##Brendan D. Saltaformaggio##Ramana KOMPELLA##Ryan Riley##Zhongshu Gu##Ardalan Kangarlou##Zhui Deng##Baochun Li##Mohamed Hefeeda##Catherine Rosenberg##sebastien goasguen##Chung Hwan Kim##Eugene H. Spafford##Hui Lu##Gopal Pandurangan##Zhi Wang##Xiaohui (Helen) Gu (顾晓晖）##Nick Sumner,no
Ben Hanrahan,ist.psu.edu,Penn State,nan,no
Lee E. Miller,northwestern.edu,Northwestern,Sara A. Solla##Christian Ethier##Konrad Paul Kording##Emily Oby##Matthew G. Perich##Eric J Perreault##Marc W Slutzky##Juan Álvaro Gallego##Raeed H. Chowdhury##Nicholas G Hatsopoulos##Brian London##Sliman Bensmaia##Ian Stevenson##Stan Gielen##Matthew J Bauman PhD##Thomas Sinkjær##Nicholas Sachs##Kevin Kilgore##Pavan Ramkumar##Andrew Fagg,no
Robert Waldstein,waldste.in,nan,nan,no
Brian London,u.northwestern.edu,Northwestern University,nan,no
Tianjun Fu,email.arizona.edu,University of Arizona,nan,yes
Georg Lausen,informatik.uni-freiburg.de,Universität Freiburg,Thomas Hornung##Alexander Schätzle##Cai-Nicolas Ziegler##Martin Zablocki##Bertram Ludäscher##Michael Kifer##Michael Meier##Joseph A. Konstan##Andreas Oberweis,no
Mats Heimdahl,umn.edu,University of Minnesota,Michael W Whalen##Sanjai Rayadurgam##N Leveson##Anitha Murugesan##Ajitha Rajan##Gregory Gay##Yunja Choi##Oleg Sokolsky##Insup Lee##Darren Cofer##Tim Menzies##Dongjiang You##Andrew Gacek##Willem Visser##Jane Huffman Hayes##Danielle Stewart##Jane Cleland-Huang##Ian J. De Silva##Robyn Lutz##Patrick Mäder,no
D. Hernandez-Contreras,susu.inaoep.mx,INAOE,nan,no
John Mylopoulos,cs.toronto.edu,nan,Paolo Giorgini##Eric Yu##Alexander Borgida##Anna Perini##Lawrence Chung##Yijun Yu##Matthias Jarke##Jaelson  Castro##Manuel Kolp##Jennifer Horkoff##Angelo Susi##Fausto Giunchiglia##Fabio Massacci##Alexei Lapouchnian##Ivan Jureta##Nicola Zeni##Neil A. Ernst##Julio Cesar Sampaio do Prado Leite##Kostas Kontogiannis##Vítor E. Silva Souza,no
Andrzej Skowron,mimuw.edu.pl,University of Warsaw,nan,no
Ikaro Silva,philips.com,Philips,Gari Clifford##Qiao Li##Alistair Johnson##Ryan S. McGinnis##Shyamal Patel##Reza Sameni##Roozbeh Ghaffari##Joon Lee##Daniel Scott##Michael J Epstein##Tingting Zhu##Shamim Nemati##Bradley A Edwards##James P. Butler##Mohammad Mahdi Ghassemi##zhenyu.zhang##Hong Ren Wu##Daniel Scott,no
Benjamin K. Johnson,ufl.edu,University of Florida,Silvia Knobloch-Westerwick##Judith E. Rosenbaum##Allison Eden##Michael D. Slater##David Ewoldsen##Rachel L. Neo##Brandon Van Der Heide##Jonathan Cohen##Leonard Reinecke##Cornelia Mothes##Jolanda Veldhuis##R. Kelly Garrett##Aysenur Dal##Yariv Tsfati##Shira Dvir-Gvirsman##Mao Vang##Serena Daalmans##Tilo Hartmann##Giulia Ranzini##Sara M. Grady,no
Witold Kinsner,umanitoba.ca,University of Manitoba,nan,yes
gary marchionini,ils.unc.edu,university of north carolina chapel hill,Ben Shneiderman##Anita Komlodi##Catherine Plaisant##Chirag Shah##Ryen W. White##Xia Lin##Rob Capra##Dagobert Soergel##Douglas W. Oard##Terrell Russell##Stephanie W Haas##Richard Gruss##Jeffrey Pomerantz##Fred Stutzman##Barbara Wildemuth##Richard Furuta##Hermann Maurer##Laura Slaughter##Yan Zhang##Annie T. Chen,no
Brendan D. Saltaformaggio,ece.gatech.edu,Georgia Institute of Technology,Dongyan Xu##Xiangyu Zhang##Zhongshu Gu##Yonghwi Kwon##Rohit Bhatia##Omar Alrawi##Ranjita Pai Kasturi##Ruian Duan##Golden G. Richard III##Hui Lu##Luo Si##Kexin Pei##Shiqing Ma##A. Ali-Gombe##Ramana KOMPELLA##Zhui Deng##Nick Sumner##Cong Xu##Chung Hwan Kim##Kyu Hyung Lee,no
Mao Vang,osu.edu,Ohio State University,Brandon Van Der Heide##Benjamin K. Johnson##Jesse Fox,no
Jongwook Lee,knu.ac.kr,Kyungpook National University,Sanghee Oh (오상희)##Fang Wang##Micah Vandegrift,no
Dun Liu (刘盾),swjtu.cn,Southwest Jiaotong University,Tianrui Li (李天瑞)##Decui Liang (梁德翠)##Junbo Zhang（张钧波）##Witold Pedrycz##Yiyu Yao (Y.Y. Yao 姚一豫)##Simon X. Yang,no
Hugo Jiménez Hernández,cidesi.edu.mx,nan,Jose-Joel Gonzalez-Barbosa##Ivan Ramon Terol Villalobos##Alberto Vázquez-Cervantes##Diana-Margarita Córdova-Esparza##J.A. Soto-Cajiga##Teresa Hernández -Díaz##Juan R. Terven##Alfonso Gómez Espinosa##Juvenal Rodríguez Reséndiz##LUCIANO NAVA BALANZAR##Josué-Rafael Montes##Fernando Carrizosa Corral##Alfonso Ramírez Pedraza##Edrei Reyes-Santos##Noé Amir Rodríguez Olivares##Alejandro Gómez Hernández##Pérez-Ramos Jorge-L.##Ma. Teresa García Ramírez##Luis-Kayrumet Pérez Buigas##Hugo Santacruz-Reyes,no
Lawrence Chung,utdallas.edu,University of Texas at Dallas,nan,no
Roberto Confalonieri,unibz.it,Free University of Bozen-Bolzano,Oliver Kutz##Marco Schorlemmer##Manfred Eppe##Javier Vazquez-Salceda##Juan Carlos Nieves##Rafael Peñaloza##Carles Sierra##Dave de Jonge##Matthew Yee-King##Nardine Osman##Mark d'Inverno##Maximos Kaliakatsos-Papakostas##Sergio Alvarez-Napagao##Leila Amgoud##Emilios Cambouropoulos##Alison Pease##Joseph Corneli##Osorio Mauricio##Steven Willmott##Sandra Ortega-Martorell,yes
Joel A Dubin,uwaterloo.ca,University of Waterloo,nan,yes
Dakota Murray,northeastern.edu,nan,Cassidy R. Sugimoto##Vincent Larivière##Rodrigo Costas##Nicolás Robinson-García##Zaida Chinchilla-Rodríguez##Ying Ding##Yi Bu (步一)##Kyle Siler,yes
Andrea Kavanaugh,vt.edu,Virginia Tech,Manuel A. Pérez-Quiñones##Steve Sheetz##Edward Fox##John M. Carroll##Mary Beth Rosson##Debbie Denise Reese##B. Joon Kim##Scott J. Patterson##Lin Tzy Li##Joseph Turow##Joseph Schmitz##John Tedesco##Lexing Xie##Apostol (Paul) Natsev##Rodrigo Sandoval-Almazan##Karen Hult##Mohamed Magdy Gharib Farag##Jaideep Godara##Naren Ramakrishnan##Jane Fedorowicz,no
