author_name,email,affiliation,coauthors_names,research_interest
Elisabeth Andre,informatik.uni-augsburg.de,Augsburg University,Matthias Rehm##Tobias Baur##Nikolaus Bee##Ionut Damian##Ana Paiva##Felix Kistler##Markus Häring##Wolfgang Wahlster##Ruth Aylett##Marc Cavazza##Stephan Hammer##Catherine Pelachaud##René Bühling##Yukiko I. Nakano##Masood Masoodian##Mohammad Obaid##Fred Charles##Birgit Lugrin##Kaśka Porayska-Pomsta##Mark Billinghurst,intelligent_user_interfaces##affective_computing##social_robotics##virtual_humans##social_signal_processing
Saeed Rashwand Ph.D.,division.ai,,,machine_learning##deep_learning##data_science
Michael Breakspear,newcastle.edu.au,University of Newcastle Australia,James A Roberts##Andrew Zalesky##Karl Friston##Philip B. Mitchell##Gloria Roberts##Olaf Sporns##Leonardo L. Gollo##Tjeerd W Boonstra##Luca Cocchi##Alistair Perry##Vinh T. Nguyen##Christine Guo##Viktor Jirsa##Alexander Fornito##GUSTAVO DECO##James M Shine##Petra Ritter (née Wobst)##Stewart Heitmann##Matthew Hyett##Anthony Randal McIntosh,computational_neuroscience##computational_psychiatry
Longbiao CHEN (陈龙彪),xmu.edu.cn,Xiamen University,Shijian Li##Gang Pan (潘纲)##Daqing Zhang IEEE Fellow##Dingqi Yang##Xiaojuan Ma##Dr. Xiaoliang FAN (范晓亮)##Jonathan Li##Thi-Mai-Trang Nguyen##Cheng WANG  ( 王程 )##Leye Wang##Kostadin Kushlev##Zhiyong YU (於志勇)##Michele Nogueira##jianrong tao##Xiaolong Li##Chao Chen (陈超)##Bingqing QU##Pau Lau##Jiangtao Wang,ubiquitous_computing##crowdsensing##mobile_computing##big_data_analytics
Felix Hill,google.com,,Anna Korhonen##Roi Reichart##Stephen Clark##Douwe Kiela##Kyunghyun Cho##Phil Blunsom##Jason Weston##Sumit Chopra##Karl Moritz Hermann##Yoshua Bengio##Christian Bentz##Antoine Bordes##Ivan Vulić##Daniela Gerz##Coline Devin##Max Jaderberg##Demis Hassabis,language##artificial_intelligence##cognitive_science
Christopher Thomas,knoesis.org,,Amit Sheth##William S. York##Cartic Ramakrishnan##Pankaj Mehra##Prashant Doshi##Pablo N. Mendes##V.S. Subrahmanian,artificial_intelligence##nlp##information_extraction##knowledge_acquisition##knowledge_representation
Leliane Nunes de Barros,ime.usp.br,University of São Paulo,Karina Valdivia Delgado##Scott Sanner##Silvio do Lago Pereira##Fabio Gagliardi Cozman##Felipe Trevizan##Maria Viviane de Menezes##V. Richard Benjamins##Andre Valente##Denis Deratani Mauá##Thiago P. Bueno##Tiago Vaquero##Jim Hendler##Eduardo Toledo Santos##Andreas Herzig##Daniel Baptista Dias##Ricardo Herrmann,artificial_intelligence##automated_planning
Christine Piatko,jhuapl.edu,Johns Hopkins University,David M. Mount##Nathan Netanyahu##James Mayfield##Paul McNamee##Bonnie Dorr##Joseph S. B. Mitchell##Holly Rushmeier##Michael Bloodgood##Tim Finin##Lori Levin##Esther Arkin##Jason Eisner##John R. Gersh##Omar F. Zaidan##Chris Callison-Burch##Clay Fink##David Yarowsky##Douglas W. Oard##Zareen Syed##Mark Dredze,machine_learning##human_language_technology##visualization
GUSTAVO DECO,upf.edu,University Pompeu Fabra,,computational_neuroscience
Rahul Shrestha PhD SMIEEE,iitmandi.ac.in,,Roy Paily##Rohit Chaurasiya##Anuj Verma##Farhad Merchant##John Gustafson##Jonathan Neudorfer##kaustav niyogi##Rainer Leupers##Dr. Shubhajit Roy Chowdhury##Sachin Kumawat##Naman Govil##Vijay kanchetla##Srikant Srinivasan##Enna Sachdeva##Sumit Pandey##Dinesh Kumar Balasubramanian##Sumanth Gudaparthi,vlsi_design##circuits_%26_systems##digital_vlsi_architectures##vlsi_for_sig_proc_%26_commun##vlsi_for_cognitive_radio
Li Ding,No verified email,,Tim Finin##Deborah L. McGuinness##Anupam Joshi##Jim Hendler##Pranam Kolari##Jie Bao##Dominic DiFranzo##Timothy Lebo##Alvaro Graves##John S. Erickson##Gregory Todd Williams##Joshua Shinavier##Lalana Kagal##Boanerges Aleman-Meza##Meena Nagarajan##Amit Sheth##Ying Ding,semantic_search##social_network##linked_open_government_data##ontology##provenance_and_trust
Belle Tseng,alum.mit.edu,,Ching-Yung Lin##John R. Smith##Milind Naphade##hari sundaram##yu-ru lin##Apostol (Paul) Natsev##Akshay Java##Shenghuo Zhu (朱胜火）##zon-yin Shae##Tim Finin##Arnon Amir##Ya Zhang##Achint Oommen Thomas##Yi Chang##Ming-Ting Sun##Alejandro Jaimes##Wei Chu（褚崴）##Denny Zhou##Olivier Chapelle##Xiaolin Shi,machine_learning##artificial_intelligence##data_science##web_search##social_network
Stefan Koelsch,cbs.mpg.de,,Thomas Fritz##Sebastian Jentschke##Daniela Sammler##Thomas C Gunter##Erich Schröger##Stavros Skouras PhD##Martin Rohrmeier##Thomas Jacobsen##Burkhard Maess##Mari Tervaniemi##Arthur M Jacobs##Liila Taruffi##Robert Turner##Moritz Lehne##Corinna Pehrs##Andreas Schulze-Bonhage##John Sloboda##Gabriele Lohmann##Tobias Grossmann##Christian von Scheve,brain_music
Zhiwen Yu (於志文),nwpu.edu.cn,Northwestern Polytechnical University,Bin Guo##Daqing Zhang IEEE Fellow##Zhu WANG##Liming Luke Chen##Chris Nugent##Diane J Cook##Christian Becker,ubiquitous_computing##mobile_sensing##human_computer_interaction##mobile_social_networks
Trevor Cohn,unimelb.edu.au,University of Melbourne,Timothy Baldwin##Phil Blunsom##Gholamreza (Reza) Haffari##Steven Bird##Kalina Bontcheva##Lucia Specia##Chris Dyer##Mirella Lapata##Michal Lukasik##Graham Neubig##Afshin Rahimi##Daniel Preotiuc-Pietro##Daniel Beck##Long Duong##Karin Verspoor##Ekaterina Vylomova##Cong Duy Vu Hoang##Oliver Adams##Miles Osborne##Kevin Duh,machine_translation##natural_language_processing##computational_linguistics##machine_learning##artificial_intelligence
Michelle Anne Borkin,neu.edu,Northeastern University,Alyssa Goodman##Hanspeter Pfister##Jaime E Pineda##Jens Kauffmann##Zoya Bylinskii (Gavrilov)##Aude Oliva##Erik Rosolowsky##Nam Wook Kim##Krzysztof Gajos##Simone Melchionna PhD##João Alves##Marco Lombardi##Frank J. Rybicki MD PhD##Dimitrios Mitsouras PhD##Phillip Isola##Daniel Wigdor##Clifton Forlines##Chia Shen##Efthimios Kaxiras##Amanda (Peters) Randles,visualization##hci##astrophysics##medical_imaging
Hawzhin Mohammed,students.tntech.edu,Tennessee Technological University,Syed Rafay Hasan##Tolulope Odetola##Kemal Akkaya##Samet Tonyali##Mohamed M. E. A. Mahmoud##Khaled Rabieh##Falah Awwad##Ahmad Alsharif##Terry N. Guo##Faiq Khalid##Mohammad Ashiqur Rahman##William Eberle##Felix Dogbe##Mahmoud Nabil Mahmoud,deep_learning##hardware_security##network_security##data_privacy
Elnaz Soleimani,aut.ac.ir,,Ehsan Nazerfard##parviz asghari##Ghazaleh Khodabandelou,machine_learning##transfer_learning##computer_vision
Courtney Napoles,grammarly.com,,Joel R Tetreault##Chris Callison-Burch##Keisuke Sakaguchi##Benjamin Van Durme##Matt Post##Matthew R. Gormley##Ellie Pavlick##Aasish Pappu##Mark Dredze##Nitin Madnani##Aoife Cahill,natural_language_processing
Yoosof Mashayekhi,aut.ac.ir,,Hoda Mashayekhi##Tijl De Bie##Jefrey Lijffijt##Alireza Rezvanian - علیرضا رضوانیان##M. R. Meybodi##Alexandru Cristian Mara##Ehsan Nazerfard##Arman Rahbar##Bo Kang##samira shirzadeh,graph_mining##graph_embedding##data_mining##big_data##social_networks
Garima Sharma,monash.edu,Monash University,Abhinav Dhall##Shreyank Jyoti##Shreya Ghosh##Jyoti Joshi##Anita Ganpati,affective_computing##computer_vision
William Yang Wang,cs.ucsb.edu,University of California Santa Barbara,Xin Eric Wang##Wenhu Chen##Wenhan Xiong##Elizabeth Belding##William W. Cohen##Mo Yu##Hong Wang##Vivek Kulkarni##Shiyu Chang##Xiaoxiao Guo##Mai ElSherief##Pengda Qin##Yuan-Fang Wang##Jing Qian##Zhiyu Chen##Yun-Nung (Vivian) Chen##Alexander Rudnicky##Xifeng Yan##Sharon Levy##Asli Celikyilmaz,natural_language_processing##machine_learning##artificial_intelligence##language_and_vision
Matin Kheirkhahan,google.com,Google,Todd Manini##Sanjay Ranka##Duane B. Corbett##Parisa Rashidi##Amal A. Wanigatunga##Anis Davoudi##Nancy W. Glynn##Mamoun T. Mardini##Matthew Buman##Stephen Ranshous##Juned Siddique,applied_machine_learning##wearable_sensors##activity_recognition
